"since","until","visitedEntityType","visitedEntityKey"
"2019-08-09 08:00:46","2019-08-09 11:21:36",1,"SVK-1052"
"2018-12-02 17:55:13","2018-12-07 19:19:55",1,"SVK-1051"
"2018-05-14 17:50:21","2018-06-08 14:17:15",2,6327
"2018-12-02 12:59:56","2018-12-02 12:59:56",1,"SVK-1056"
"2019-06-22 17:12:28","2019-06-22 17:18:03",1,"NOR-75"
"2018-08-20 19:52:55","2018-08-22 07:03:04",2,6327
"2018-12-19 06:48:17","2018-12-19 06:49:01",1,"SVK-1056"
"2019-02-01 00:17:28","2019-02-01 13:11:46",2,5336
"2012-07-12 12:31:31","2012-07-12 13:15:07",2,4666
"2013-06-27 11:16:38","2013-06-27 13:19:42",2,6851
"2018-12-18 11:55:06","2019-01-16 21:38:30",2,6327
"2013-06-27 11:16:38","2013-06-28 20:37:18",1,"NOR-913"
"2018-05-13 15:52:27","2018-05-17 17:32:17",1,"SVK-1051"
"2018-12-18 11:55:06","2018-12-18 11:55:06",1,"SVK-1051"
"2019-09-15 12:35:52","2019-09-15 12:36:15",2,7169
"2018-02-02 01:17:24","2018-02-02 01:17:24",2,7313
"2018-11-29 18:13:05","2018-11-30 15:47:26",1,"SVK-1051"
"2018-07-29 16:09:31","2018-08-03 15:36:31",1,"SVK-1051"
"2018-12-18 11:55:06","2019-01-17 15:09:30",0,"SVK"
"2019-09-15 12:35:52","2019-09-15 12:36:15",1,"CZE-1595"
"2019-07-19 08:45:54","2019-07-19 15:54:25",1,"SVK-1051"
"2016-06-29 01:25:49","2016-06-30 14:02:35",1,"ISL-695"
"2018-01-24 01:43:00","2018-01-24 03:22:47",1,"NZL-5468"
"2019-09-15 12:35:52","2019-09-15 12:36:15",0,"CZE"
"2019-07-19 08:45:54","2019-07-20 07:06:32",0,"SVK"
"2018-08-17 14:40:32","2018-08-22 07:03:04",1,"SVK-1051"
"2017-07-26 07:46:23","2017-07-29 13:35:48",1,"HRV-1490"
"2014-09-04 10:52:11","2014-09-09 16:44:31",3,21
"2017-07-26 07:46:23","2017-07-29 13:35:48",0,"HRV"
"2014-09-04 10:52:11","2014-09-04 10:52:11",1,"USA-3523"
"2019-07-18 18:26:04","2019-07-18 18:26:04",1,"HUN-3156"
"2018-07-29 09:33:59","2018-07-29 09:34:02",1,"SVK-1056"
"2019-07-18 18:26:04","2019-07-18 18:26:04",0,"HUN"
"2018-01-24 21:53:24","2018-01-25 14:39:11",1,"NZL-5468"
"2018-07-29 09:33:59","2018-08-03 15:36:31",0,"SVK"
"2019-10-17 17:56:38","2019-10-17 19:52:35",1,"PRT-5498"
"2019-11-26 08:27:37","2019-11-26 12:28:09",2,3973
"2019-11-26 08:27:37","2019-11-26 12:28:09",1,"ISR-3054"
"2019-10-18 17:36:03","2019-10-18 19:56:10",1,"PRT-5498"
"2019-11-26 08:27:37","2019-11-26 12:28:09",0,"ISR"
"2019-10-17 17:26:36","2019-10-17 17:26:36",1,"PRT-746"
"2018-05-10 17:12:33","2018-05-12 18:29:02",1,"SVK-1056"
"2011-09-02 15:42:50","2011-09-03 15:17:18",1,"SVK-1058"
"2018-10-15 17:52:20","2018-10-18 06:13:47",1,"SVK-1051"
"2019-11-26 08:18:05","2019-11-26 08:18:05",2,7100
"2018-05-10 17:12:33","2018-05-26 07:31:39",0,"SVK"
"2017-12-21 18:12:13","2018-01-17 18:55:45",2,6327
"2019-11-26 08:18:05","2019-11-26 08:18:05",1,"WEB+00?"
"2017-12-21 18:12:13","2017-12-22 09:56:51",1,"SVK-1051"
"2019-11-26 08:18:05","2019-11-26 08:18:05",0,"PSX"
"2019-10-17 16:53:03","2019-10-17 16:53:03",1,"PRT-5498"
"2017-12-21 18:12:13","2018-01-17 18:55:45",0,"SVK"
"2018-10-14 06:24:23","2018-10-14 06:24:23",1,"SVK-1056"
"2018-10-14 06:24:23","2018-11-23 16:36:51",0,"SVK"
"2019-02-15 17:45:32","2019-02-15 17:45:39",1,"SVK-1051"
"2017-06-17 10:35:24","2017-06-18 14:07:57",2,7282
"2015-06-05 11:59:01","2015-06-05 13:39:26",1,"GBR-5703"
"2019-08-08 11:10:30","2019-08-08 18:25:09",1,"SVK-1057"
"2019-04-19 12:28:21","2019-04-19 15:26:32",2,7124
"2017-06-17 10:35:24","2017-06-18 14:07:57",1,"FRA-5333"
"2018-11-29 06:37:46","2018-11-29 12:10:40",1,"SVK-1056"
"2019-04-19 12:28:21","2019-04-19 15:26:32",1,"HUN-3160"
"2017-06-17 10:35:24","2017-06-18 14:07:57",0,"FRA"
"2017-05-28 13:15:40","2017-06-06 18:30:28",2,5987
"2017-05-28 13:15:40","2017-06-08 03:44:25",1,"DNK-3416"
"2012-09-18 14:12:53","2012-09-18 15:12:35",1,"HUN-3156"
"2017-05-28 13:15:40","2017-06-08 03:44:25",0,"DNK"
"2012-09-18 14:12:53","2012-09-18 15:12:35",0,"HUN"
"2017-01-01 22:16:20","2017-01-01 22:36:43",1,"USA-3558"
"2017-03-14 22:40:09","2017-04-02 21:28:11",3,13
"2019-10-17 16:17:23","2019-10-20 15:32:53",3,67
"2018-11-27 18:55:56","2018-12-12 19:35:15",2,6327
"2017-03-14 22:40:09","2017-04-02 00:13:19",2,6801
"2018-11-27 18:55:56","2018-11-27 18:55:56",1,"SVK-1051"
"2017-03-14 22:40:09","2017-04-02 00:13:19",1,"USA-3560"
"2018-11-27 18:55:56","2018-12-12 19:35:15",0,"SVK"
"2019-10-17 16:17:23","2019-10-20 15:32:53",2,7131
"2019-10-17 16:17:23","2019-10-20 15:32:53",0,"PRT"
"2019-10-17 16:17:23","2019-10-17 16:26:35",1,"PRT-746"
"2019-06-28 17:02:10","2019-06-29 08:47:03",2,6849
"2014-09-03 13:53:03","2014-09-04 08:24:41",3,10
"2016-10-31 14:25:55","2016-12-19 00:20:21",3,13
"2014-09-03 13:53:03","2014-09-04 08:24:41",1,"USA-3520"
"2016-10-31 14:25:55","2016-12-17 00:06:44",2,6801
"2014-09-03 13:53:03","2014-09-03 14:01:08",2,1838
"2016-10-31 14:25:55","2016-12-18 21:11:55",1,"USA-3560"
"2015-03-28 12:36:07","2015-03-28 13:55:00",1,"IRL-76"
"2019-06-23 11:23:21","2019-06-24 10:19:29",1,"NOR-75"
"2012-09-11 12:36:37","2012-11-23 16:17:31",2,6327
"2016-10-31 14:25:55","2016-12-19 00:20:21",0,"USA"
"2019-11-21 10:47:04","2019-11-22 05:31:54",2,7195
"2015-06-05 10:33:12","2015-06-05 10:40:26",1,"GBR-2768"
"2016-03-30 15:38:11","2016-03-30 15:41:00",1,"DNK-3417"
"2019-11-21 10:47:04","2019-11-22 05:31:54",1,"ISR-3057"
"2019-02-14 20:43:13","2019-02-14 20:54:33",1,"SVK-1056"
"2018-11-26 09:32:24","2018-11-26 10:46:28",1,"ESP-5820"
"2016-03-30 15:38:11","2016-04-02 15:11:58",0,"DNK"
"2019-10-17 11:45:07","2019-10-17 11:45:08",1,"AUT-2330"
"2018-05-07 16:49:11","2018-05-07 17:51:54",2,2555
"2019-10-17 11:45:07","2019-10-17 11:45:08",0,"AUT"
"2012-07-16 08:36:48","2012-07-16 11:24:57",3,25
"2018-05-07 16:49:11","2018-05-07 17:51:54",1,"SVN-256"
"2018-07-28 16:37:35","2018-07-28 17:37:35",1,"HUN-3156"
"2012-07-16 08:36:48","2012-07-16 11:24:57",4,"Australia"
"2013-06-26 12:43:38","2013-06-26 20:12:58",1,"NOR-915"
"2018-05-07 16:49:11","2018-05-07 17:51:54",0,"SVN"
"2018-07-28 16:37:35","2018-07-28 17:37:35",0,"HUN"
"2012-07-16 08:36:48","2012-07-16 11:24:57",2,7287
"2017-12-17 08:25:47","2017-12-18 10:58:05",1,"AUT-2329"
"2012-09-11 09:40:11","2012-09-11 15:51:34",1,"SVK-1051"
"2012-07-16 08:36:48","2012-07-16 11:24:57",1,"AUS-2654"
"2017-12-17 08:25:47","2017-12-18 10:58:05",0,"AUT"
"2012-09-11 09:40:11","2012-09-11 15:51:34",0,"SVK"
"2015-06-04 19:54:21","2015-06-04 19:54:24",1,"GBR-2080"
"2012-07-16 08:36:48","2012-07-16 11:24:57",0,"AUS"
"2015-03-28 11:53:30","2015-03-28 11:55:15",1,"IRL-713"
"2016-03-22 18:05:36","2016-03-22 18:50:02",2,6327
"2019-09-11 18:07:24","2019-10-17 11:45:08",3,73
"2016-03-22 18:05:36","2016-03-22 18:50:02",1,"SVK-1051"
"2019-09-11 18:07:24","2019-09-14 16:35:53",2,6327
"2019-11-21 08:28:59","2019-11-27 09:18:40",3,66
"2016-03-22 18:05:36","2016-03-22 18:50:02",0,"SVK"
"2009-12-24 15:28:59","2010-02-06 13:22:35",1,"SVK-1053"
"2012-07-16 06:57:43","2012-07-16 06:57:43",3,41
"2019-09-11 18:07:24","2019-09-14 16:35:53",1,"SVK-1051"
"2018-07-27 19:22:39","2018-07-27 19:24:39",1,"SVK-1056"
"2018-01-30 02:25:01","2018-01-31 04:58:14",1,"NZL-3406"
"2012-07-16 06:57:43","2012-07-16 06:57:43",4,"Asia"
"2019-09-11 18:07:24","2019-09-14 16:35:53",0,"SVK"
"2018-01-24 08:30:00","2018-01-24 21:04:51",1,"NZL-3399"
"2012-07-16 06:57:43","2012-07-16 06:57:43",2,7288
"2015-03-28 08:11:47","2015-03-28 08:11:47",1,"IRL-721"
"2019-11-21 08:28:59","2019-11-27 09:18:40",4,"Asia"
"2015-06-04 18:35:22","2015-06-04 18:42:18",1,"GBR-2072"
"2012-07-16 06:57:43","2012-07-16 06:57:43",1,"SGP-4871"
"2019-06-28 13:46:10","2019-06-29 13:14:23",1,"NOR-900"
"2019-11-21 08:28:59","2019-11-22 07:40:31",0,"ISR"
"2012-07-16 06:57:43","2012-07-16 06:57:43",0,"SGP"
